input,language,dialect,originregion
"الجو بقى حلو، مصرى، القاهرة.",Arabic,Egyptian,Egypt
"بكرة نشوفك، مصرى، الإسكندرية.",Arabic,Egyptian,Egypt
"السيسى اترشح تانى، مصرى، القاهرة.",Arabic,Egyptian,Egypt
"علشان أيه كدة؟، مصرى، الإسكندرية.",Arabic,Egyptian,Egypt
"بتفكر إزاي كدة؟، مصرى، القاهرة.",Arabic,Egyptian,Egypt
"الشغل بقى زهق، مصرى، الإسكندرية",Arabic,Egyptian,Egypt
"أمبارح كان فيها حفلة، مصرى، القاهرة.",Arabic,Egyptian,Egypt
"يلا نطلع بره، مصرى، الإسكندرية.",Arabic,Egyptian,Egypt
"فين البلدوزر ده؟، مصرى، القاهرة.",Arabic,Egyptian,Egypt
"الباص فاضى، مصرى، الإسكندرية.",Arabic,Egyptian,Egypt
"الجو ده جميل، مصرى، القاهرة.",Arabic,Egyptian,Egypt
"أنا مش عارف أنام، مصرى، الإسكندرية.",Arabic,Egyptian,Egypt
"أهلاً بيك فى مصر، مصرى، القاهرة.",Arabic,Egyptian,Egypt
"البيت كان فى حالة، مصرى، الإسكندرية.",Arabic,Egyptian,Egypt
"الفول ده قليل، مصرى، القاهرة.",Arabic,Egyptian,Egypt
"يا رب الامتحان يكون سهل، مصرى، الإسكندرية.",Arabic,Egyptian,Egypt
"أنا مش فاهم حاجة، مصرى، القاهرة.",Arabic,Egyptian,Egypt
"النهاردة جو برد، مصرى، الإسكندرية",Arabic,Egyptian,Egypt
"الفرن مش شغال، مصرى، القاهرة",Arabic,Egyptian,Egypt
"الباص مليان، مصرى، الإسكندرية",Arabic,Egyptian,Egypt
"شو عم تعمل هون؟، عربي، شامي، دمشق.",Arabic,Levantine,"Lebanon, Syria, Jordan, Palestine"
"الجو اليوم كتير حلو، عربي، شامي، بيروت.",Arabic,Levantine,"Lebanon, Syria, Jordan, Palestine"
"بدك شي من السوق؟، عربي، شامي، عمّان.",Arabic,Levantine,"Lebanon, Syria, Jordan, Palestine"
"كيف صحتك؟، عربي، شامي، القدس",Arabic,Levantine,"Lebanon, Syria, Jordan, Palestine"
"وين رايح بكير؟، عربي، شامي، دمشق.",Arabic,Levantine,"Lebanon, Syria, Jordan, Palestine"
"أنا كتير تعبان اليوم، عربي، شامي، بيروت",Arabic,Levantine,"Lebanon, Syria, Jordan, Palestine"
"رح نلتقي بكرة؟، عربي، شامي، عمّان.",Arabic,Levantine,"Lebanon, Syria, Jordan, Palestine"
"شو صار معك؟، عربي، شامي، القدس",Arabic,Levantine,"Lebanon, Syria, Jordan, Palestine"
"خلينا نروح على الكافيه، عربي، شامي، دمشق",Arabic,Levantine,"Lebanon, Syria, Jordan, Palestine"
"بدك مساعدة؟، عربي، شامي، بيروت.",Arabic,Levantine,"Lebanon, Syria, Jordan, Palestine"
"شو رأيك بهالفيلم؟، عربي، شامي، عمّان.",Arabic,Levantine,"Lebanon, Syria, Jordan, Palestine"
"الدنيا برد كتير اليوم، عربي، شامي، القدس.",Arabic,Levantine,"Lebanon, Syria, Jordan, Palestine"
"متى بدك تروح؟، عربي، شامي، دمشق.",Arabic,Levantine,"Lebanon, Syria, Jordan, Palestine"
"ما فيني أجي اليوم، عربي، شامي، بيروت",Arabic,Levantine,"Lebanon, Syria, Jordan, Palestine"
"حبيبي كيفك؟، عربي، شامي، عمّان.",Arabic,Levantine,"Lebanon, Syria, Jordan, Palestine"
"وين كنت امبارح؟، عربي، شامي، القدس.",Arabic,Levantine,"Lebanon, Syria, Jordan, Palestine"
"شفتك بالمول، عربي، شامي، دمشق.",Arabic,Levantine,"Lebanon, Syria, Jordan, Palestine"
"رح نروح عالشغل بكير، عربي، شامي، بيروت.",Arabic,Levantine,"Lebanon, Syria, Jordan, Palestine"
"عم بحكي معك، عربي، شامي، عمّان",Arabic,Levantine,"Lebanon, Syria, Jordan, Palestine"
"ما عندي وقت، عربي، شامي، القدس.",Arabic,Levantine,"Lebanon, Syria, Jordan, Palestine"
"شلونك اليوم؟، عربي، خليجي، الكويت.",Arabic,Gulf,"Kuwait, UAE, Eastern Saudi Arabia, Qatar, Bahrain, Oman"
"الجو حر وايد، عربي، خليجي، دبي.",Arabic,Gulf,"Kuwait, UAE, Eastern Saudi Arabia, Qatar, Bahrain, Oman"
"وين رحت أمس؟، عربي، خليجي، الرياض.",Arabic,Gulf,"Kuwait, UAE, Eastern Saudi Arabia, Qatar, Bahrain, Oman"
"تبي شي من السوق؟، عربي، خليجي، المنامة.",Arabic,Gulf,"Kuwait, UAE, Eastern Saudi Arabia, Qatar, Bahrain, Oman"
"خل نسير على البحر، عربي، خليجي، أبوظبي.",Arabic,Gulf,"Kuwait, UAE, Eastern Saudi Arabia, Qatar, Bahrain, Oman"
"ما عندك سالفة، عربي، خليجي، الدوحة.",Arabic,Gulf,"Kuwait, UAE, Eastern Saudi Arabia, Qatar, Bahrain, Oman"
"شفت المباراة البارحة؟، عربي، خليجي، جدة.",Arabic,Gulf,"Kuwait, UAE, Eastern Saudi Arabia, Qatar, Bahrain, Oman"
"وين بتروح اليوم؟، عربي، خليجي، مسقط.",Arabic,Gulf,"Kuwait, UAE, Eastern Saudi Arabia, Qatar, Bahrain, Oman"
"تراك تأخرت، عربي، خليجي، الدمام.",Arabic,Gulf,"Kuwait, UAE, Eastern Saudi Arabia, Qatar, Bahrain, Oman"
"جبت لك هدية، عربي، خليجي، الكويت.",Arabic,Gulf,"Kuwait, UAE, Eastern Saudi Arabia, Qatar, Bahrain, Oman"
"الباص وصل، عربي، خليجي، دبي.",Arabic,Gulf,"Kuwait, UAE, Eastern Saudi Arabia, Qatar, Bahrain, Oman"
"أنا وايد تعبان، عربي، خليجي، الرياض.",Arabic,Gulf,"Kuwait, UAE, Eastern Saudi Arabia, Qatar, Bahrain, Oman"
"بشوفك عقب، عربي، خليجي، المنامة.",Arabic,Gulf,"Kuwait, UAE, Eastern Saudi Arabia, Qatar, Bahrain, Oman"
"هذا المكان زحمة، عربي، خليجي، أبوظبي.",Arabic,Gulf,"Kuwait, UAE, Eastern Saudi Arabia, Qatar, Bahrain, Oman"
"شو بتسوي بعدين؟، عربي، خليجي، الدوحة.",Arabic,Gulf,"Kuwait, UAE, Eastern Saudi Arabia, Qatar, Bahrain, Oman"
"عطيني موبايلك، عربي، خليجي، جدة.",Arabic,Gulf,"Kuwait, UAE, Eastern Saudi Arabia, Qatar, Bahrain, Oman"
"السيارة جاهزة، عربي، خليجي، مسقط.",Arabic,Gulf,"Kuwait, UAE, Eastern Saudi Arabia, Qatar, Bahrain, Oman"
"أبي قهوة، عربي، خليجي، الدمام.",Arabic,Gulf,"Kuwait, UAE, Eastern Saudi Arabia, Qatar, Bahrain, Oman"
"تعال نلعب كورة، عربي، خليجي، الكويت.",Arabic,Gulf,"Kuwait, UAE, Eastern Saudi Arabia, Qatar, Bahrain, Oman"
"شرايك بالفيلم؟، عربي، خليجي، دبي.",Arabic,Gulf,"Kuwait, UAE, Eastern Saudi Arabia, Qatar, Bahrain, Oman"
"كفاش راك؟، عربي، مغربي، الجزائر.",Arabic,Maghrebi,"Morocco, Algeria, Tunisia, Libya, Mauritania"
"الجو اليوم غيم، عربي، مغربي، تونس.",Arabic,Maghrebi,"Morocco, Algeria, Tunisia, Libya, Mauritania"
"فين غادي دابا؟، عربي، مغربي، الرباط.",Arabic,Maghrebi,"Morocco, Algeria, Tunisia, Libya, Mauritania"
"شنو جديدك؟، عربي، مغربي، الدار البيضاء.",Arabic,Maghrebi,"Morocco, Algeria, Tunisia, Libya, Mauritania"
"حنا ماشين للبحر، عربي، مغربي، تونس.",Arabic,Maghrebi,"Morocco, Algeria, Tunisia, Libya, Mauritania"
"عطيني شوية ما، عربي، مغربي، الجزائر.",Arabic,Maghrebi,"Morocco, Algeria, Tunisia, Libya, Mauritania"
"هاد الشي زوين بزاف، عربي، مغربي، مراكش.",Arabic,Maghrebi,"Morocco, Algeria, Tunisia, Libya, Mauritania"
"وقتاش تجي عندي؟، عربي، مغربي، طرابلس.",Arabic,Maghrebi,"Morocco, Algeria, Tunisia, Libya, Mauritania"
"ما فهمتش هاد الشي، عربي، مغربي، تونس.",Arabic,Maghrebi,"Morocco, Algeria, Tunisia, Libya, Mauritania"
"بغيت نشرب قهوة، عربي، مغربي، الجزائر.",Arabic,Maghrebi,"Morocco, Algeria, Tunisia, Libya, Mauritania"
"فين كانا البارح؟، عربي، مغربي، الدار البيضاء.",Arabic,Maghrebi,"Morocco, Algeria, Tunisia, Libya, Mauritania"
"واش عندك الوقت؟، عربي، مغربي، الرباط.",Arabic,Maghrebi,"Morocco, Algeria, Tunisia, Libya, Mauritania"
"راني تعبان، عربي، مغربي، مراكش.",Arabic,Maghrebi,"Morocco, Algeria, Tunisia, Libya, Mauritania"
"شحال غادي تبيع هادا؟، عربي، مغربي، تونس.",Arabic,Maghrebi,"Morocco, Algeria, Tunisia, Libya, Mauritania"
"سير دير شغلك، عربي، مغربي، الجزائر.",Arabic,Maghrebi,"Morocco, Algeria, Tunisia, Libya, Mauritania"
"هادا صاحبي، عربي، مغربي، الدار البيضاء.",Arabic,Maghrebi,"Morocco, Algeria, Tunisia, Libya, Mauritania"
"نروح نسافر بكري، عربي، مغربي، طرابلس.",Arabic,Maghrebi,"Morocco, Algeria, Tunisia, Libya, Mauritania"
"شنو كاين؟، عربي، مغربي، الرباط.",Arabic,Maghrebi,"Morocco, Algeria, Tunisia, Libya, Mauritania"
"عفاك ساعدني، عربي، مغربي، مراكش.",Arabic,Maghrebi,"Morocco, Algeria, Tunisia, Libya, Mauritania"
"هادي شحال ما شفتك، عربي، مغربي، تونس.",Arabic,Maghrebi,"Morocco, Algeria, Tunisia, Libya, Mauritania"
"كيف حالك اليوم؟، عربي، يمني، صنعاء",Arabic,Yemeni,Yemen
"الجو حرّ بزيادة، عربي، يمني، عدن.",Arabic,Yemeni,Yemen
"وين كنت أمس؟، عربي، يمني، تعز.",Arabic,Yemeni,Yemen
"بتروح السوق؟، عربي، يمني، الحديدة.",Arabic,Yemeni,Yemen
"خلّنا نروح البحر، عربي، يمني، المكلا.",Arabic,Yemeni,Yemen
"مالك زعلان؟، عربي، يمني، إب.",Arabic,Yemeni,Yemen
"شفت المباراة البارح؟، عربي، يمني، صنعاء.",Arabic,Yemeni,Yemen
"وين رايح الحين؟، عربي، يمني، عدن.",Arabic,Yemeni,Yemen
"تأخرت كثير، عربي، يمني، تعز.",Arabic,Yemeni,Yemen
"جبت لك هدية، عربي، يمني، الحديدة.",Arabic,Yemeni,Yemen
"السيارة وصلت، عربي، يمني، المكلا.",Arabic,Yemeni,Yemen
"أنا تعبان اليوم، عربي، يمني، إب.",Arabic,Yemeni,Yemen
"بشوفك بعدين، عربي، يمني، صنعاء.",Arabic,Yemeni,Yemen
"المكان زحمة، عربي، يمني، عدن.",Arabic,Yemeni,Yemen
